lower,variants,is_proper,rep_word,rep_voca_id,merge_voca_ids,rep_meanings,extra_candidates
displacement,displacement#12615 | displacement#52044,,displacement,12615,52044,배기량 / 변위 / 부재 / 이동,"[{""mid"": 133576, ""text"": ""치환""}]"
distinctive,distinctive#2495 | distinctive#52368,,distinctive,2495,52368,특유의 / 독특한 / 뛰어난,"[{""mid"": 134047, ""text"": ""구별되는""}]"
distribute,distribute#1702 | distribute#52350 | distribute#52448,,distribute,1702,"52350,52448",분포시키다,"[{""mid"": 134014, ""text"": ""분배하다""}, {""mid"": 134015, ""text"": ""유통하다""}, {""mid"": 134199, ""text"": ""배포하다""}]"
dominate,dominate#1146 | dominate#52465,,dominate,1146,52465,점령하다 / 주도하다 / …을 지배하다 / 장악하다 / 압도하다,"[{""mid"": 134233, ""text"": ""우위를 차지하다""}]"
don,don#5498 | Don#50129,Y,Don,50129,5498,이름,"[{""mid"": 19876, ""text"": ""명사""}, {""mid"": 19877, ""text"": ""거물""}, {""mid"": 19878, ""text"": ""입다""}]"
downpour,downpour#20438 | downpour#51971 | downpour#52060,,downpour,20438,"51971,52060",호우 / 폭우 / 억수,"[{""mid"": 133460, ""text"": ""비가 퍼부음""}]"
draining,Draining#9396 | draining#28159,,draining,28159,9396,배수,"[{""mid"": 31266, ""text"": ""지겨운""}, {""mid"": 31267, ""text"": ""지루한""}]"
drawback,drawback#10594 | Drawback#28028,,drawback,10594,28028,결함 / 단점 / 결점,"[{""mid"": 81281, ""text"": ""문제점""}]"
drowsiness,drowsiness#10653 | Drowsiness#29796,,drowsiness,10653,29796,기면 상태 / 졸음,"[{""mid"": 85202, ""text"": ""졸림""}]"
dutch,dutch#2475 | Dutch#30020,,dutch,2475,30020,네덜란드인 / 네덜란드의 / 네덜란드어 / 독일의,"[{""mid"": 108980, ""text"": ""네덜람드 사람""}]"
eastern,eastern#1959 | Eastern#36591,,eastern,1959,36591,동부의 / 동양의 / 동구의 / 동쪽의,"[{""mid"": 99495, ""text"": ""동쪽에 위치한""}]"
eccentricity,eccentricity#21506 | Eccentricity#28009,,eccentricity,21506,28009,기행 / 비정상 / 별남,"[{""mid"": 81257, ""text"": ""편심""}]"
economic,economic#305 | Economic#15620,,economic,305,15620,경제의 / 경기의,"[{""mid"": 48807, ""text"": ""경제학의""}]"
edward,edward#28442 | Edward#50229,Y,Edward,50229,28442,이름,"[{""mid"": 82228, ""text"": ""에드워드""}]"
electronic,electronic#2269 | Electronic#37430,,electronic,2269,37430,전자의 / 일렉트로닉 / 전자 장치 / 전자기기 / 전자 부품,"[{""mid"": 101254, ""text"": ""전기제품""}, {""mid"": 101255, ""text"": ""전기기기등""}]"
electronics,electronics#16522 | Electronics#27767,,electronics,16522,27767,전자 기술 / 전자 기기,"[{""mid"": 80812, ""text"": ""전자제품""}]"
emerge,emerge#244 | emerge#52467,,emerge,244,52467,새로운 / 명백해지다 / (어려움에서) 벗어나다 / 떠오르다 / 나타나다,"[{""mid"": 134237, ""text"": ""드러나다""}]"
enameloplasty,enameloplasty#51690 | enameloplasty#51696,,enameloplasty,51690,51696,에나멜 형성,"[{""mid"": 131936, ""text"": ""에나멜 성형술""}]"
encapsulation,encapsulation#31170 | Encapsulation#45291,,encapsulation,31170,45291,요약 / 응축,"[{""mid"": 118192, ""text"": ""캡슐화""}]"
endangered,endangered#8000 | Endangered#37416,,endangered,8000,37416,위험한 / 멸종 위기의,"[{""mid"": 101240, ""text"": ""위험에 빠진""}]"
endosseous,endosseous#51651 | endosseous#51732,,endosseous,51651,51732,내골,"[{""mid"": 131971, ""text"": ""엔돌세어스""}]"
enduring,enduring#15828 | enduring#52138,,enduring,15828,52138,인내 / 변함없는 / 영속적인 / 참을성있는 / 지속하는,"[{""mid"": 133708, ""text"": ""지속적인""}]"
english,english#341 | English#34123,,english,341,34123,영국인 / 영어 / 영국의 / 영문학 / 잉글랜드인,"[{""mid"": 109304, ""text"": ""잉글랜드어""}]"
englishness,Englishness#39089 | englishness#47234,,englishness,47234,39089,영국적 특징 / 영국다움,"[{""mid"": 104895, ""text"": ""영국(사람)다움""}, {""mid"": 104896, ""text"": ""영국(사람)식""}]"
enhance,enhance#895 | enhance#52070 | enhance#52134,,enhance,895,"52070,52134",증진 / 향상하다 / 개성하다 / 높이다 / 제고하다 / 개선시키다 / 강화하다,"[{""mid"": 133613, ""text"": ""향상시키다""}]"
enlightened,enlightened#10497 | enlightened#52202 | enlightened#52245 | enlightened#52293,,enlightened,10497,"52202,52245,52293",잘 알고 있는 / 계발된 / 정통한,"[{""mid"": 133792, ""text"": ""계몽된""}]"
ensure,ensure#410 | ensure#52331,,ensure,410,52331,보장하다 / 확보하다 / 확실하게 하다 / …하기 위해,"[{""mid"": 133979, ""text"": ""확실히 하다""}]"
eric,eric#28872 | Eric#50054,Y,Eric,50054,28872,이름,"[{""mid"": 83226, ""text"": ""에릭""}, {""mid"": 83227, ""text"": ""살인범 및 그 친척이 희생자의 가족에게 지불한 벌금""}]"
ethnic,ethnic#2468 | Ethnic#36118,Y,Ethnic,36118,2468,민족의,"[{""mid"": 10290, ""text"": ""혈통의""}, {""mid"": 10291, ""text"": ""종족""}, {""mid"": 10292, ""text"": ""인종의""}]"
europe,europe#5336 | Europe#34118,Y,Europe,34118,5336,유럽 / 구주(歐洲),"[{""mid"": 19293, ""text"": ""구라파""}]"
evaluate,evaluate#1881 | evaluate#52351 | evaluate#52449,,evaluate,1881,"52351,52449",평가하다 / 측정하다 / 시험하다 / 검토하다 / 고려하다,"[{""mid"": 134202, ""text"": ""감정하다""}]"
exactly,exactly#1366 | Exactly#4863,,exactly,1366,4863,확실히 / 바로 / 정확히 / 그렇소 / 딱,"[{""mid"": 18418, ""text"": ""맞아 그거야""}]"
excel,excel#12582 | Excel#29835,,excel,12582,29835,탁월하다,"[{""mid"": 85241, ""text"": ""뛰어나다""}]"
excitedly,excitedly#30628 | Excitedly#37477,,excitedly,30628,37477,흥분하여 / 기를 쓰고 / 격하여,"[{""mid"": 101303, ""text"": ""흥분하게""}]"
exhausting,exhausting#7451 | exhausting#52012,,exhausting,7451,52012,소모적인 / 심신을 지치게 하는 / 피로하게 하는,"[{""mid"": 133522, ""text"": ""진을 빼는""}, {""mid"": 133523, ""text"": ""기진맥진하게 하는""}]"
exodontia,exodontia#51712 | exodontia#51763,,exodontia,51712,51763,치수술,"[{""mid"": 131998, ""text"": ""잘못된 교합""}]"
exploit,exploit#1875 | Exploit#29797 | exploit#52386 | exploit#52469,,exploit,1875,"29797,52386,52469",묘기 / 착취하다 / 이용하다 / 활용하다 / 업적,"[{""mid"": 134241, ""text"": ""개발하다""}]"
explore,explore#602 | Explore#48226,Y,Explore,48226,602,탐험하다 / 답사하다,"[{""mid"": 1720, ""text"": ""탐구하다""}, {""mid"": 1722, ""text"": ""연구하다""}, {""mid"": 1723, ""text"": ""개척하다""}, {""mid"": 104341, ""text"": ""파헤치다""}, {""mid"": 130499, ""text"": ""강구하다""}, {""mid"": 130500, ""text"": ""둘러보다""}, {""mid"": 137079, ""text"": ""탐색하다""}, {""mid"": 137240, ""text"": ""발견하다""}, {""mid"": 137610, ""text"": ""조사하다""}]"
false,false#2250 | FALSE#47620,,false,2250,47620,가짜의 / 부정의 / 틀린 / 거짓의 / 허위인 / 잘못하여,"[{""mid"": 122961, ""text"": ""사실이 아닌""}]"
fixture,fixture#10180 | Fixture#28007,,fixture,10180,28007,고정적인 요소 / 고정물 / 설비,"[{""mid"": 81255, ""text"": ""고정용 보조기구""}]"
flexibility,flexibility#15925 | flexibility#52017 | flexibility#52208 | flexibility#52250 | flexibility#52298,,flexibility,15925,"52017,52208,52250,52298",구부리기 쉬움 / 신축성 / 융통성 / 탄력성,"[{""mid"": 133529, ""text"": ""유연성""}]"
flexible,flexible#2461 | flexible#52136 | flexible#52450,,flexible,2461,"52136,52450",유연한 / 신축성 있는 / 적응성 있는 / 탄력적인 / 융통성 있는,"[{""mid"": 134204, ""text"": ""구부러지기 쉬운""}]"
flippers,flippers#35352 | Flippers#37424,,flippers,35352,37424,오리발,"[{""mid"": 101248, ""text"": ""지느러미발""}]"
fluctuate,fluctuate#7364 | fluctuate#52387,,fluctuate,7364,52387,요동하다 / 동요하다 / 변동하다 / 등락하다 / 변하다 / 움직이다,"[{""mid"": 134085, ""text"": ""오르내리다""}]"
fluctuation,fluctuation#6781 | Fluctuation#29806 | fluctuation#52371,,fluctuation,6781,"29806,52371",변동 / 동요 / 파동,"[{""mid"": 134053, ""text"": ""오르내림""}]"
fluorapatite,fluorapatite#51649 | fluorapatite#51680,,fluorapatite,51649,51680,불소아파타이트,"[{""mid"": 131920, ""text"": ""플루오로압타이트""}]"
foreground,foreground#21401 | foreground#52126,,foreground,21401,52126,전경 / …을 중시하다 / 가장 눈에 띄는 위치,"[{""mid"": 133692, ""text"": ""강조하다""}, {""mid"": 133693, ""text"": ""전면에 내세우다""}]"
fortunately,fortunately#7017 | Fortunately#30272,,fortunately,7017,30272,다행히 / 운좋게,"[{""mid"": 122880, ""text"": ""다행스럽게도""}]"
foster,foster#8192 | foster#52001,,foster,8192,52001,양육하다 / 입양 / 임시로 돌보다 / 증진하다 / 만들다 / 포스터 / 육성하다 / 위탁하다,"[{""mid"": 133505, ""text"": ""함양하다""}]"
framework,framework#14237 | Framework#29942 | framework#52425,,framework,14237,"29942,52425",틀 / 체제 / 근거 / 구조,"[{""mid"": 134159, ""text"": ""체계""}]"
frenectomy,frenectomy#51729 | frenectomy#51770,,frenectomy,51729,51770,결합막 절제술,"[{""mid"": 132002, ""text"": ""유창통 제거술""}]"
frustrate,frustrate#6925 | Frustrate#36169 | frustrate#52470,,frustrate,6925,"36169,52470",화나게 하다 / 실망시키다 / 안타까운 / 좌절시키다 / 짜증나는,"[{""mid"": 134243, ""text"": ""방해하다""}]"
frustrated,frustrated#5020 | Frustrated#29800,,frustrated,5020,29800,낙담한 / 욕구 불만의 / 좌절한 / 좌절된 / 짜증난,"[{""mid"": 85206, ""text"": ""불만스러운""}]"
fundamental,fundamental#2008 | fundamental#52333 | fundamental#52372,,fundamental,2008,"52333,52372",펀더멘틀 / 궁극적인 / 중요한 / 기본적인 / 근본적인,"[{""mid"": 133983, ""text"": ""필수적인""}, {""mid"": 134055, ""text"": ""핵심적인""}]"
funny,funny#2002 | Funny#35669,,funny,2002,35669,유쾌한 / 이상한 / 농담조의 / 재미있는 / 웃기는,"[{""mid"": 97589, ""text"": ""즐거운""}]"
further,further#943 | Further#40184,,further,943,40184,게다가 / 더 / 더 멀리 / 그 이상의 / 더 나아가,"[{""mid"": 107473, ""text"": ""뿐만 아니라""}]"
futuristic,futuristic#13191 | futuristic#52144,,futuristic,13191,52144,초현대적인 / 미래의 / 미래파의,"[{""mid"": 133716, ""text"": ""미래지향적인""}]"
gingivectomy,gingivectomy#51625 | gingivectomy#51628,,gingivectomy,51625,51628,잇몸 부분 절제,"[{""mid"": 131876, ""text"": ""잇몸절제술""}]"
gingivoplasty,gingivoplasty#51706 | gingivoplasty#51754,,gingivoplasty,51706,51754,치조유화술,"[{""mid"": 131989, ""text"": ""잇몸성형술""}]"
given,given#2366 | Given#30609,,given,2366,30609,얻은 / 실시된 / 받은 / 감안하면 / 주어진,"[{""mid"": 86456, ""text"": ""~을 고려해 볼 때""}]"
granted,granted#12943 | Granted#33483,,granted,12943,33483,허가 / 받은 / 당연히 / 승인 / 부여된,"[{""mid"": 92939, ""text"": ""~말한대로이긴 하지만""}, {""mid"": 92982, ""text"": ""인정하기는 하지만""}]"
grateful,grateful#1229 | Grateful#37468 | grateful#51969,,grateful,1229,"37468,51969",고마운 / 감사하는,"[{""mid"": 133456, ""text"": ""고마워하는""}]"
guarantee,guarantee#739 | guarantee#52451,,guarantee,739,52451,보호 / 보장하다 / 약속 / 보증 / 장담하다,"[{""mid"": 134206, ""text"": ""담보""}]"
hail,hail#6091 | Hail#29852,,hail,6091,29852,우박이 내리다 / 우박 / 환영하다 / 출신 / 찬양 / 부르다 / 인정받다,"[{""mid"": 85258, ""text"": ""일컫다""}]"
halloween,halloween#12309 | Halloween#34739,,halloween,12309,34739,핼러윈 / 할로윈,"[{""mid"": 95706, ""text"": ""핼 로 윈""}, {""mid"": 100536, ""text"": ""할로인""}]"
hank,hank#39151 | Hank#50201,Y,Hank,50201,39151,이름,"[{""mid"": 105130, ""text"": ""타래""}, {""mid"": 105131, ""text"": ""한 타래분의 길이""}]"
happy,happy#5 | Happy#47937,Y,Happy,47937,5,기분이 좋다,"[{""mid"": 646, ""text"": ""행복한""}, {""mid"": 647, ""text"": ""기쁜""}, {""mid"": 648, ""text"": ""만족한""}, {""mid"": 649, ""text"": ""즐거운""}, {""mid"": 650, ""text"": ""축하하다""}]"
hardly,hardly#4835 | Hardly#36255,,hardly,4835,36255,…하기 어렵다 / 가혹하게 / 거의 …아니다 / 거의 ~않다 / 거의 …할 것 같지 않다,"[{""mid"": 124266, ""text"": ""거의 아니다""}]"
helena,helena#28630 | Helena#50252,Y,Helena,50252,28630,이름,"[{""mid"": 82693, ""text"": ""헬레나""}]"
hemisection,hemisection#51723 | hemisection#51741,,hemisection,51723,51741,치과 절단기법,"[{""mid"": 131979, ""text"": ""반편절제술""}]"
henry,henry#10356 | Henry#50085,Y,Henry,50085,10356,이름,"[{""mid"": 34357, ""text"": ""헨리""}]"
herald,herald#13261 | Herald#30280,,herald,13261,30280,전령 / 예고 / 신문 / 헤럴드 / 알리다,"[{""mid"": 85898, ""text"": ""① 왕의 사자 ② …을 보도하다 ③ 의전관""}]"
hierarchy,hierarchy#6776 | hierarchy#52388,,hierarchy,6776,52388,계층제 / 서열 / 계층 / 계급제 / 계급 제도 / 통치권,"[{""mid"": 134087, ""text"": ""위계""}]"
highlight,highlight#11258 | highlight#52408,,highlight,11258,52408,부각 / 강조 / 두드러지게 하다 / 주목 / 절정 / 하이라이트 / 강조하다,"[{""mid"": 134125, ""text"": ""주요 부분""}]"
hindu,hindu#33692 | Hindu#36600,,hindu,33692,36600,힌두인 / 힌두의 / 힌두교의,"[{""mid"": 108962, ""text"": ""힌두교 신자""}]"
hispanic,hispanic#13173 | Hispanic#33859,Y,Hispanic,33859,13173,(특히 미국이나 케나다에 사는) 라틴아메리카 계의 사람들,"[{""mid"": 42345, ""text"": ""히스패닉계의""}, {""mid"": 42346, ""text"": ""라틴 아메리카계 사람""}, {""mid"": 42347, ""text"": ""라틴 아메리카의""}]"
hit,hit#191 | Hit#37344,,hit,191,37344,치다 / 타격 / 부딪히다 / 히트를 치다 / 달하다,"[{""mid"": 101114, ""text"": ""때리다""}]"
hollywood,hollywood#4809 | Hollywood#30021,,hollywood,4809,30021,미국 영화 / 할리우드,"[{""mid"": 127711, ""text"": ""헐리우드""}]"
homer,homer#29279 | Homer#49997,Y,Homer,49997,29279,이름,"[{""mid"": 84193, ""text"": ""홈런을 치다""}, {""mid"": 84194, ""text"": ""전서구""}, {""mid"": 84195, ""text"": ""고대 그리스의 시인""}]"
homogeneous,homogeneous#13951 | Homogeneous#28027,,homogeneous,13951,28027,순일의 / 동질적인 / 동종의 / 동원의 / 불변의,"[{""mid"": 81279, ""text"": ""동일한""}, {""mid"": 81280, ""text"": ""같은 제품의[형용사""}]"
id,id#35698 | ID#40897,,id,35698,40897,이드 / 특수 원형질 / 신분증 / 알레르기성 피부진,"[{""mid"": 108992, ""text"": ""신문증""}]"
identification,identification#7965 | identification#52222,,identification,7965,52222,신원 확인,"[{""mid"": 133821, ""text"": ""식별""}]"
identifying,identifying#28712 | identifying#52271,,identifying,28712,52271,확인 / 감별,"[{""mid"": 133890, ""text"": ""식별하는""}]"
illustrate,illustrate#1769 | Illustrate#29856 | illustrate#52159,,illustrate,1769,"29856,52159",설명하다 / 예시하다 / 삽화를 넣다,"[{""mid"": 85262, ""text"": ""분명히 보여주다""}]"
implantology,implantology#51627 | implantology#51718,,implantology,51627,51718,임플란트 치료,"[{""mid"": 131957, ""text"": ""아산화 이빈""}]"
implement,implement#1637 | implement#52353,,implement,1637,52353,실행하다,"[{""mid"": 134018, ""text"": ""시행하다""}, {""mid"": 134019, ""text"": ""도구""}]"
implicit,implicit#2301 | implicit#52389,,implicit,2301,52389,은연중의,"[{""mid"": 134088, ""text"": ""암시된""}, {""mid"": 134089, ""text"": ""내포된""}]"
imply,imply#1767 | imply#52354,,imply,1767,52354,암시하다 / 함축하다,"[{""mid"": 134021, ""text"": ""의미하다""}]"
imposter,imposter#16506 | Imposter#48566,Y,Imposter,48566,16506,사기꾼 협잡꾼 남의 이름을 사칭하는자,"[{""mid"": 51421, ""text"": ""사칭하는 사람""}]"
incentive,incentive#8877 | incentive#52006 | incentive#52373,,incentive,8877,"52006,52373",장려하는 / 보상의 / 장려금 / 유인책 / 동기 / 유인 / 동기 부여 / 혜택 / 인센티브,"[{""mid"": 134056, ""text"": ""자극""}]"
incisal,incisal#51745 | incisal#51757,,incisal,51745,51757,절면,"[{""mid"": 131992, ""text"": ""과치내우""}]"
indecisive,indecisive#11983 | Indecisive#36250,,indecisive,11983,36250,승패가 나지 않은 / 우유부단한,"[{""mid"": 98762, ""text"": ""결단력이 없는""}]"
individually,individually#8408 | Individually#34552,,individually,8408,34552,개인적으로 / 각자에게 / 하나하나 / 개별적으로,"[{""mid"": 95276, ""text"": ""개인으로""}]"
inevitable,inevitable#2401 | inevitable#52008 | inevitable#52355 | inevitable#52409 | inevitable#52471,,inevitable,2401,"52008,52355,52409,52471",필연적인 / 불가피한 / 피할 수 없는,"[{""mid"": 134245, ""text"": ""당연한""}]"
inhabit,inhabit#6876 | inhabit#52004,,inhabit,6876,52004,존재하다 / 거주하다 / 서식하다,"[{""mid"": 133510, ""text"": ""(작품 속에) 빠져들다""}]"
inherent,inherent#2155 | inherent#52391,,inherent,2155,52391,내재된 / 필연적인 / 고유의 / 타고난,"[{""mid"": 134092, ""text"": ""내재하는""}]"
insalvageable,insalvageable#39066 | INSALVAGEABLE#40115,,insalvageable,39066,40115,구해낼수 있는,"[{""mid"": 106518, ""text"": ""구해낼 수 없는""}]"
integrate,integrate#1909 | integrate#52426,,integrate,1909,52426,통합하다 / 접목하다 / 합치다 / 융합하다 / 포함하다,"[{""mid"": 134160, ""text"": ""통합시키다""}]"
internet,internet#5286 | Internet#35054,,internet,5286,35054,인터넷,"[{""mid"": 101238, ""text"": ""웹사이트""}]"
interproximal,interproximal#51711 | interproximal#51727,,interproximal,51711,51727,복합성 의치,"[{""mid"": 131966, ""text"": ""접근간""}]"
intervene,intervene#1516 | intervene#52374,,intervene,1516,52374,끼어들다 / 사이에 있다 / 개입하다,"[{""mid"": 134060, ""text"": ""중재하다""}]"
invariably,invariably#9264 | invariably#52157,,invariably,9264,52157,변함없이,"[{""mid"": 133734, ""text"": ""예외 없이""}]"
inviting,inviting#9035 | Inviting#29816,,inviting,9035,29816,솔깃한 / 유혹적인 / 초대하는,"[{""mid"": 85222, ""text"": ""매력적인""}]"
involvement,involvement#6628 | involvement#52005,,involvement,6628,52005,개입 / 관계 / 연루 / 관련,"[{""mid"": 133511, ""text"": ""참여""}, {""mid"": 133512, ""text"": ""몰입""}]"
isaac,isaac#31645 | Isaac#50089,Y,Isaac,50089,31645,이름,"[{""mid"": 88834, ""text"": ""아이작""}, {""mid"": 88835, ""text"": ""아이잭""}, {""mid"": 88836, ""text"": ""이사악""}, {""mid"": 88837, ""text"": ""아이삭""}]"
isolate,isolate#1497 | Isolate#43940,,isolate,1497,43940,분리하다 / 고립시키다 / 축출되다 / 격리하다 / 소외시키다,"[{""mid"": 115362, ""text"": ""고립(분리)시키다""}]"
isolated,isolated#2543 | isolated#52166,,isolated,2543,52166,격리된 / 고립된 / 절연된,"[{""mid"": 133747, ""text"": ""분리된""}]"
israelite,israelite#27279 | Israelite#41013,,israelite,27279,41013,하나님의 선민 / 야곱의 자손 / 고대 이스라엘,"[{""mid"": 109224, ""text"": ""이스라엘인""}, {""mid"": 109225, ""text"": ""이스라엘 어""}]"
issue,issue#241 | Issue#30822,,issue,241,30822,문제 / 사안 / 쟁점 / 발급하다 / 발행 / 지급하다 / 이슈 / 발표하다 / 발행하다 / 문제사안,"[{""mid"": 86906, ""text"": ""잡지의 호""}]"
it,it#3560 | IT#37337,,it,3560,37337,그것 / 이것 / 그런,"[{""mid"": 101099, ""text"": ""정보기술""}]"
italy,italy#7958 | Italy#35583,,italy,7958,35583,이탈리아,"[{""mid"": 101098, ""text"": ""이태리""}]"
jackson,jackson#28632 | Jackson#50251,Y,Jackson,50251,28632,이름,"[{""mid"": 82695, ""text"": ""잭슨""}]"
james,james#8575 | James#50033,Y,James,50033,8575,이름,"[{""mid"": 29272, ""text"": ""제임스""}, {""mid"": 29273, ""text"": ""야고보""}]"
jane,jane#10598 | Jane#49384,Y,Jane,49384,10598,이름 / 제인,"[{""mid"": 35017, ""text"": ""처녀""}, {""mid"": 35018, ""text"": ""여자""}]"
jennifer,jennifer#45357 | Jennifer#50071,Y,Jennifer,50071,45357,이름,"[{""mid"": 118309, ""text"": ""제니퍼""}]"
jenny,jenny#28452 | Jenny#49999,Y,Jenny,49999,28452,이름,"[{""mid"": 82246, ""text"": ""암컷""}, {""mid"": 82247, ""text"": ""방적기""}]"
jig,JIG#28006 | jig#30668,,jig,30668,28006,흑인 / 지그 / 지그를 쓰다,"[{""mid"": 81254, ""text"": ""보조기구""}]"
jill,jill#30566 | Jill#50180,Y,Jill,50180,30566,이름,"[{""mid"": 86359, ""text"": ""소녀""}, {""mid"": 86360, ""text"": ""젊은 여자""}]"
jim,jim#44620 | Jim#50048,Y,Jim,50048,44620,이름,"[{""mid"": 116716, ""text"": ""못쓰게 만들다""}]"
joe,joe#12892 | Joe#50067,Y,Joe,50067,12892,이름,"[{""mid"": 41591, ""text"": ""녀석""}, {""mid"": 41592, ""text"": ""병사""}]"
john,john#5205 | John#50002,Y,John,50002,5205,이름,"[{""mid"": 18800, ""text"": ""요한복음""}, {""mid"": 18801, ""text"": ""요한의 편지""}, {""mid"": 18802, ""text"": ""세례 요한""}]"
johnny,johnny#18349 | Johnny#50144,Y,Johnny,50144,18349,이름,"[{""mid"": 56319, ""text"": ""녀석""}, {""mid"": 56320, ""text"": ""놈""}, {""mid"": 56321, ""text"": ""짧은 가운""}]"
join,join#387 | Join#30819,,join,387,30819,연결하다 / ~에 가입하다 / 잇다 / 가입하다 / 합치다 / 동참하다 / 만나다 / 참여하다,"[{""mid"": 86900, ""text"": ""결합하다""}]"
josh,josh#12803 | Josh#50059,Y,Josh,50059,12803,이름,"[{""mid"": 41080, ""text"": ""놀리다""}, {""mid"": 41081, ""text"": ""농담하다""}]"
judaism,judaism#27562 | Judaism#40885,,judaism,27562,40885,유대 정신 / 유대인 / 유대교,"[{""mid"": 125319, ""text"": ""유대주의""}]"
judge,judge#1608 | judge#51964 | judge#52054,,judge,1608,"51964,52054",판단하다 / 심사하다 / 평가하다 / 판사 / 판결하다,"[{""mid"": 133592, ""text"": ""판정하다""}]"
karen,karen#10606 | Karen#50077,Y,Karen,50077,10606,이름,"[{""mid"": 35036, ""text"": ""카렌족""}, {""mid"": 35037, ""text"": ""카렌어""}]"
kelly,kelly#28453 | Kelly#50241,Y,Kelly,50241,28453,이름,"[{""mid"": 82249, ""text"": ""켈리""}, {""mid"": 82250, ""text"": ""캘리""}]"
keystone,keystone#20437 | keystone#52046,,keystone,20437,52046,이맛돌 / 근본 원리 / 쐐기돌,"[{""mid"": 133579, ""text"": ""핵심""}, {""mid"": 133580, ""text"": ""초석""}]"
kim,kim#45341 | Kim#49950,Y,Kim,49950,45341,이름,"[{""mid"": 118253, ""text"": ""킴""}]"
lack,lack#1053 | Lack#30818,Y,Lack,30818,1053,"""부족하다"" / ""부족""","[{""mid"": 3543, ""text"": ""…이 없다""}, {""mid"": 3544, ""text"": ""결핍""}, {""mid"": 3545, ""text"": ""부재""}, {""mid"": 3546, ""text"": ""모자라다""}]"
landscape,landscape#4429 | Landscape#30817,,landscape,4429,30817,경관 / 지역 / 조경 / 지형 / 풍경,"[{""mid"": 86895, ""text"": ""경치""}]"
larry,larry#7499 | Larry#50100,Y,Larry,50100,7499,이름,"[{""mid"": 28833, ""text"": ""래리""}]"
last,last#1780 | Last#30815,,last,1780,30815,지난 / 최종의 / 지속하다 / 지속되다 / 마지막의 / 끝,"[{""mid"": 86892, ""text"": ""계속하다""}, {""mid"": 101109, ""text"": ""최후의""}]"
latin,latin#2490 | Latin#36188,,latin,2490,36188,라틴어 / 라틴의,"[{""mid"": 98618, ""text"": ""라틴계의""}, {""mid"": 108943, ""text"": ""고대 로마언어""}]"
launch,launch#1740 | Launch#29804,,launch,1740,29804,발사하다 / 출시하다 / 발표 / 시작하다 / 개시하다,"[{""mid"": 85210, ""text"": ""분명히하다""}]"
leap,leap#1924 | Leap#36148,,leap,1924,36148,상승하다 / 자살하다 / 도약하다 / 뛰다 / 건너 뛰다 / 발전하다,"[{""mid"": 124265, ""text"": ""뛰어오르다""}]"
lease,lease#7950 | Lease#30814,,lease,7950,30814,임대 계약서 / 민간자본유치사업 / 리스 / 임대하다 / 임대 계약 / 대여하다,"[{""mid"": 86887, ""text"": ""\""임대차계약\""""}, {""mid"": 86889, ""text"": ""\""임차하다\""""}, {""mid"": 86890, ""text"": ""\""차용계약\""""}]"
lee,lee#23046 | Lee#50131,Y,Lee,50131,23046,이름,"[{""mid"": 69157, ""text"": ""바람 불어가는 쪽""}]"
lengthy,lengthy#2288 | Lengthy#30813,,lengthy,2288,30813,오랜 / 긴,"[{""mid"": 86886, ""text"": ""장황한""}]"
letterhead,letterhead#26744 | Letterhead#30458,Y,Letterhead,30458,26744,① 편지지의 윗머리에 인쇄한 개인·회사 등의 주소·이름 등 ② 1이 인쇄된 편지지,"[{""mid"": 131301, ""text"": ""레터헤드""}]"
letters,Letters#27780 | letters#50170,,letters,50170,27780,문학 / 문서,"[{""mid"": 80825, ""text"": ""서신""}]"
liable,liable#2482 | Liable#30811,,liable,2482,30811,책임 있는 / …해야 할 / 여지가 있는 / …하기 쉬운,"[{""mid"": 86883, ""text"": ""책임이있는""}]"
liberate,liberate#3001 | liberate#52375 | liberate#52392,,liberate,3001,"52375,52392",벗어나다 / 해방하다 / 자유롭게 하다,"[{""mid"": 134061, ""text"": ""해방시키다""}]"
like-minded,like-minded#39075 | LIKE-MINDED#40110,,like-minded,39075,40110,취향이나 이견이 비슷한 / 생각(뜻)이 비슷한,"[{""mid"": 106507, ""text"": ""취향이나 의견이 비슷한""}]"
likely,likely#307 | Likely#30809,,likely,307,30809,~할 것 같은 / 가능성 있는 / 할 것 같은 / …할 듯한 / 아마,"[{""mid"": 86880, ""text"": ""~할 가능성이 있는""}]"
lily,lily#4436 | Lily#50228,Y,Lily,50228,4436,이름,"[{""mid"": 16324, ""text"": ""백합""}, {""mid"": 16325, ""text"": ""수련""}, {""mid"": 16326, ""text"": ""릴리""}, {""mid"": 16327, ""text"": ""은방울꽃""}]"
limited,limited#1853 | Limited#30808,,limited,1853,30808,특별 급행 열차 / 제한을 받은 / 한정된,"[{""mid"": 86879, ""text"": ""제한된""}]"
listing,listing#7946 | Listing#30807,,listing,7946,30807,목록 / 리스트 / 일람표에의 기재 / 표 작성 / 변폭,"[{""mid"": 86877, ""text"": ""명부에 기재""}, {""mid"": 86878, ""text"": ""기입""}]"
localized,localized#19123 | localized#52218 | localized#52260 | localized#52308,,localized,19123,"52218,52260,52308",지방화된 / 국지적인 / 국지화된,"[{""mid"": 133816, ""text"": ""국소의""}]"
logic,logic#7824 | logic#52452,,logic,7824,52452,생각 / 논리,"[{""mid"": 134208, ""text"": ""타당성""}]"
